material-surveyer,Material,subcategory,material,CP,SP,Volume,Processing,"if_yes,_what_kind_of_processing",how_do_you_decide_when_to_sell,_index,_parent_table_name,_parent_index
240 steel,Steel,240,Colour,80,90,50,No,,I sell on fixed schedule - daily/monthly/weekly,136,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),18
Steel 304,Steel,304,Colour,250,270,20,No,,I sell on fixed schedule - daily/monthly/weekly,81,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),14
Aa,Aluminium,Aa,Colour,40,50,60,No,,I sell on fixed schedule - daily/monthly/weekly,77,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),14
Aa,Aluminium,Aa,Colour,80,90,70,No,,I sell on fixed schedule - daily/monthly/weekly,267,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),26
Aa,Aluminium,Aa,Colour,40,50,60,No,,I sell on fixed schedule - daily/monthly/weekly,287,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),27
Aa,Aluminium,Aa,Colour,80,90,50,No,,I sell on fixed schedule - daily/monthly/weekly,374,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),34
AA,Aluminium,AA,Vision,60,70,40,No,,I sell on fixed schedule - daily/monthly/weekly,393,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),35
AA,Aluminium,AA,Colour,80,100,60,No,,I sell on fixed schedule - daily/monthly/weekly,409,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),36
AA,Aluminium,AA,Colour,80,85,60,No,,I sell on fixed schedule - daily/monthly/weekly,425,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),37
AA,Aluminium,AA,Colour,80,100,70,No,,I sell on fixed schedule - daily/monthly/weekly,444,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),38
Aa,Aluminium,Aa,Colour,110,120,5,No,,I sell on fixed schedule - daily/monthly/weekly,478,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),39
Aa,Aluminium,Aa,Vision,110,120,15,No,,I sell on fixed schedule - daily/monthly/weekly,493,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),40
Aa,Aluminium,Aa,Colour,80,100,150,No,,I sell on fixed schedule - daily/monthly/weekly,580,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),48
Aa,Aluminium,Aa,,80,90,50,No,,I sell on fixed schedule - daily/monthly/weekly,598,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),49
Aa,Aluminium,Aa,Colour,90,100,30,No,,I sell on fixed schedule - daily/monthly/weekly,616,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),50
Aa,Aluminium,Aa,Colour,50,60,40,No,,I sell on fixed schedule - daily/monthly/weekly,750,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),59
aa,Aluminium,aa,vision,80,90,,No,,I sell on fixed schedule - daily/monthly/weekly,812,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),65
aa,Aluminium,aa,vision,330,350,2,Yes,break,I sell on fixed schedule - daily/monthly/weekly,840,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),67
Aa,Aluminium,Aa,Colour,70,80,30,No,,I sell on fixed schedule - daily/monthly/weekly,856,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),68
Aa,Aluminium,Aa,Colour,60,70,20,No,,I sell on fixed schedule - daily/monthly/weekly,876,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),69
Aa,Aluminium,Aa,vision,70,75,12,No,,I sell on fixed schedule - daily/monthly/weekly,899,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),70
Aa,Aluminium,Aa,Colour,80,100,5,No,,I sell on fixed schedule - daily/monthly/weekly,1001,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),77
Aa,Aluminium,Aa,Color,70,80,40,No,,I sell on fixed schedule - daily/monthly/weekly,1102,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),84
Aa,Aluminium,Aa,Color,70,80,40,No,,I sell on fixed schedule - daily/monthly/weekly,1121,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),85
Aa,Aluminium,Aa,Colour,70,80,50,No,,I sell on fixed schedule - daily/monthly/weekly,1141,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),86
Aa,Aluminium,Aa,Vision,80,90,50,No,,I sell on fixed schedule - daily/monthly/weekly,1161,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),87
Aa,Aluminium,Aa,Color,40,50,30,No,,I sell on fixed schedule - daily/monthly/weekly,1180,GPSDD | Informal Waste Ecosystem Survey | Kabadiwallas (Revised),88
